Time,Milk,Sugar,Coffee_powder,Tea_powder
1682369454,276,524,0,670
1682369465,276,524,0,676
1682369496,276,524,0,679
1682369527,276,524,-7102,679
1682369537,276,524,-7098,679
1682369607,276,524,106,679
1682369618,276,524,107,679
1682369628,276,524,106,679
1682369649,276,524,107,679
1682369659,276,524,0,679
1682370595,276,524,106,679
1682370606,276,524,0,679
1682370949,276,524,95,679
1682371006,276,524,96,679
1682371008,276,524,0,679
1682371027,276,524,95,679
1682371030,276,524,96,679
1682371032,276,524,103,679
1682371033,276,524,86,679
1682371036,276,524,84,679
1682371040,276,524,99,679
1682371041,276,524,83,679
1682371043,276,524,82,679
1682371047,276,524,88,679
1682371071,276,524,89,679
1682371072,276,524,88,679
1682371074,276,524,89,679
1682371075,276,524,94,679
1682371076,276,524,95,679
1682371081,276,524,89,679
1682371082,276,524,95,679
1682371105,276,524,95,67
1682371107,276,524,95,672
1682371117,276,529,95,672
1682371121,27,529,95,672
1682371122,272,529,95,672
1682371161,272,520,95,672
1682371253,272,520,90,672
1682371255,272,520,88,672
1682371258,272,520,95,672
1682371294,272,520,96,672
1682371296,272,520,116,672
1682371297,272,520,0,672
